step	epoch
0	2.01
1	2.01
2	2.06
3	2.06
4	2.1
5	2.1
6	2.15
7	2.15
8	2.2
9	2.2
10	2.24
11	2.24
12	2.29
13	2.29
14	2.34
15	2.34
16	2.38
17	2.38
18	2.43
19	2.43
20	2.48
21	2.48
22	2.52
23	2.52
24	2.57
25	2.57
26	2.62
27	2.62
28	2.66
29	2.66
30	2.71
31	2.71
32	2.76
33	2.76
34	2.8
35	2.8
36	2.85
37	2.85
38	2.9
39	2.9
40	2.94
41	2.94
42	2.99
43	2.99
44	3.04
45	3.04
46	3.08
47	3.08
48	3.13
49	3.13
50	3.18
51	3.18
52	3.22
53	3.22
54	3.27
55	3.27
56	3.32
57	3.32
58	3.36
59	3.36
60	3.41
61	3.41
62	3.46
63	3.46
64	3.5
65	3.5
66	3.55
67	3.55
68	3.6
69	3.6
70	3.64
71	3.64
72	3.69
73	3.69
74	3.74
75	3.74
76	3.79
77	3.79
78	3.83
79	3.83
80	3.88
81	3.88
82	3.93
83	3.93
84	3.97
85	3.97
86	4.0
