step	learning_rate
0	0.0002
2	0.0002
4	0.0002
6	0.0002
8	0.0002
10	0.0002
12	0.0002
14	0.0002
16	0.0002
18	0.0002
20	0.0002
22	0.0002
24	0.0002
26	0.0002
28	0.0002
30	0.0002
32	0.0002
34	0.0002
36	0.0002
38	0.0002
40	0.0002
42	0.0002
44	0.0002
46	0.0002
48	0.0002
50	0.0002
52	0.0002
54	0.0002
56	0.0002
58	0.0002
60	0.0002
62	0.0002
64	0.0002
66	0.0002
68	0.0002
70	0.0002
72	0.0002
74	0.0002
76	0.0002
78	0.0002
80	0.0002
82	0.0002
84	0.0002
86	0.0002
88	0.0002
90	0.0002
92	0.0002
94	0.0002
96	0.0002
98	0.0002
100	0.0002
102	0.0002
104	0.0002
106	0.0002
108	0.0002
110	0.0002
112	0.0002
114	0.0002
116	0.0002
118	0.0002
120	0.0002
122	0.0002
124	0.0002
126	0.0002
128	0.0002
130	0.0002
132	0.0002
134	0.0002
136	0.0002
138	0.0002
140	0.0002
142	0.0002
144	0.0002
146	0.0002
148	0.0002
150	0.0002
152	0.0002
154	0.0002
156	0.0002
158	0.0002
160	0.0002
162	0.0002
164	0.0002
166	0.0002
168	0.0002
170	0.0002
172	0.0002
174	0.0002
176	0.0002
178	0.0002
180	0.0002
182	0.0002
184	0.0002
186	0.0002
188	0.0002
190	0.0002
192	0.0002
194	0.0002
196	0.0002
198	0.0002
200	0.0002
202	0.0002
204	0.0002
206	0.0002
208	0.0002
210	0.0002
212	0.0002
